name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key
B*tch From Da Souf (Remix),Mulatto,2zUbimuKNWDMCwbqNauLWV,0.8340000000000001,0.531,-5.707999999999999,1,0.36,0.0662,0.0,0.136,0.415,150.126,224119,4,8,1.0,22.08.2020,68,04.12.2019,1,81,1765842,3,"['3MdXrJWsbVzdn6fe5JYkSQ', '4PrinKSrmILmo0kERG0Ogn', '6cK3NBO6uP7hh0oyuVELFl']",1
my future,Billie Eilish,2ygvZOXrIeVL4xZmAWJT2C,0.444,0.309,-10.956,1,0.062,0.795,0.132,0.35200000000000004,0.0875,104.745,208155,4,13,1.0,15.08.2020,85,30.07.2020,183,93,34385382,1,['6qqNVTkY8uBg9cP3Jd7DAH'],8
I Should Probably Go To Bed,Dan + Shay,5ovVcYo2MvjVydFwFyaaqy,0.721,0.27699999999999997,-7.127999999999999,1,0.0365,0.634,0.0,0.11199999999999999,0.309,131.935,171826,4,8,1.0,15.08.2020,78,31.07.2020,178,81,1930866,1,['7z5WFjZAIYejWy0NI5lv4T'],1
cardigan,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4,12,1.0,08.08.2020,84,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],0
the 1,Taylor Swift,0Jlcvv8IykzHaSmj49uNW8,0.777,0.35700000000000004,-6.942,1,0.0522,0.757,7.28e-06,0.10800000000000001,0.172,139.88299999999998,210251,4,10,1.0,08.08.2020,81,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],0
the last great american dynasty,Taylor Swift,2Eeur20xVqfUoM3Q7EFPFt,0.6859999999999999,0.662,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4,5,1.0,08.08.2020,78,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],7
my tears ricochet,Taylor Swift,1MgV7FIyNxIG7WzMRJV5HC,0.456,0.263,-10.63,1,0.0332,0.8059999999999999,0.0,0.0749,0.111,129.86,255893,4,9,1.0,08.08.2020,77,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],0
august,Taylor Swift,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.40299999999999997,89.93700000000001,261922,4,12,1.0,08.08.2020,79,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],5
mirrorball,Taylor Swift,0ZNU020wNYvgW84iljPkPP,0.5529999999999999,0.413,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.10700000000001,208977,4,13,1.0,08.08.2020,76,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],2
seven,Taylor Swift,6KJqZcs9XDgVck7Lg9QOTC,0.596,0.488,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926,208906,4,10,1.0,08.08.2020,76,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],4
invisible string,Taylor Swift,6VsvKPJ4xjVNKpI8VVZ3SV,0.653,0.452,-11.142999999999999,0,0.055,0.838,7.73e-05,0.10800000000000001,0.45,83.43299999999999,252880,4,7,1.0,08.08.2020,77,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],4
this is me trying,Taylor Swift,7kt9e9LFSpN1zQtYEl19o1,0.515,0.47600000000000003,-9.843,1,0.0328,0.314,4.74e-05,0.171,0.41200000000000003,135.886,195097,4,12,1.0,08.08.2020,75,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],9
betty,Taylor Swift,5kI4eCXXzyuIUXjQra0Cxi,0.593,0.377,-8.761000000000001,1,0.0253,0.6,0.0,0.0976,0.502,95.939,294521,4,13,1.0,08.08.2020,78,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],0
illicit affairs,Taylor Swift,2NmsngXHeC1GQ9wWrzhOMf,0.5589999999999999,0.31,-10.445,1,0.0338,0.8809999999999999,0.0,0.106,0.46,119.845,190898,4,12,1.0,08.08.2020,75,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],10
Nobody's Love,Maroon 5,3kwgqoBqTwoAH4nT29TYrq,0.486,0.5670000000000001,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,211253,4,7,1.0,08.08.2020,82,24.07.2020,468,90,27576712,1,['04gDigrS5kc9YWfZHwBETP'],1
mad woman,Taylor Swift,2QDyYdZyhlP2fp79KZX8Bi,0.5920000000000001,0.6990000000000001,-8.995,1,0.0471,0.655,1.68e-05,0.114,0.506,141.916,237258,4,9,1.0,08.08.2020,74,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],3
Lion King On Ice,J. Cole,1ZvBVbsaNqHEP6ymXaPGlj,0.732,0.6629999999999999,-7.6160000000000005,0,0.192,0.0819,0.0,0.115,0.22699999999999998,139.964,210586,4,10,1.0,08.08.2020,73,22.07.2020,177,88,11926631,1,['6l3HvQ5sa6mXTsMTB19rO5'],6
epiphany,Taylor Swift,08fa9LFcFBTcilB3iq2e2A,0.354,0.267,-13.69,1,0.0281,0.731,0.000402,0.0858,0.113,94.219,289749,4,11,1.0,08.08.2020,73,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],1
peace,Taylor Swift,7MbT4I8qGntX4fMdqMQgke,0.647,0.272,-12.905999999999999,1,0.0916,0.9179999999999999,1.73e-05,0.0918,0.33899999999999997,150.04399999999998,234000,4,9,1.0,08.08.2020,73,24.07.2020,863,95,33312478,1,['06HL4z0CvFAxyc27GXpf02'],5
