name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
I Choose You,Mario,1KKpOFUTS8B9pD5x3PevoX,0.673,0.628,-5.192,1,0.0683,0.0819,0.0,0.0812,0.708,90.107,263013,4,14,0,,59,2009-10-08,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],9,20s0P9QLxGqKuCsGwFsp7w,Mario
Pretty Mouth Magick,Mario,7wQ6Czoc97aquib6L4xBP5,0.773,0.485,-7.984,1,0.0697,0.242,1.13e-06,0.195,0.372,145.823,176818,4,10,0,,55,2020-10-16,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],5,20s0P9QLxGqKuCsGwFsp7w,Mario
Music For Love,Mario,5gikplVdSoYfG0YKCRuicp,0.705,0.423,-5.855,1,0.0451,0.106,0.0,0.209,0.466,123.431,229600,4,11,0,,52,2007-12-11,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],0,20s0P9QLxGqKuCsGwFsp7w,Mario
Care for You,Mario,3cW7ETAXGDAM2aNN45DuNq,0.567,0.465,-7.581,1,0.0432,0.69,0.0,0.102,0.287,137.92,212687,4,8,0,,55,2018-10-05,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],1,20s0P9QLxGqKuCsGwFsp7w,Mario
Drowning,Mario,3rYxOXZNc2qoCRhV6w9eq3,0.717,0.479,-5.844,1,0.0471,0.278,0.0,0.129,0.185,113.076,218627,4,9,0,,53,2018-10-05,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],9,20s0P9QLxGqKuCsGwFsp7w,Mario
MARS,Mario,2EFV7p02Wyl5bwwAkeVEIX,0.819,0.578,-4.267,1,0.0524,0.0379,0.0,0.315,0.348,120.003,228058,4,11,0,,51,2020-10-02,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],0,20s0P9QLxGqKuCsGwFsp7w,Mario
Closer,Mario,1zJSuL37HYI8bT0XRVJZGF,0.525,0.537,-6.487,0,0.316,0.187,1.01e-05,0.0647,0.466,80.116,192011,4,10,0,,50,2020-04-24,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],7,20s0P9QLxGqKuCsGwFsp7w,Mario
Skippin',Mario,3FpxgSaFXy0UkJ1oQ9c3Lg,0.795,0.65,-6.882,0,0.216,0.198,0.0,0.123,0.617,123.898,238960,4,10,0,,48,2007-12-11,0,71,2026406,1,['20s0P9QLxGqKuCsGwFsp7w'],10,20s0P9QLxGqKuCsGwFsp7w,Mario
I Stand Alone,Godsmack,44NRdYQw7P0GWuiunRv3hr,0.217,0.92,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040,4,9,0,,69,2003-04-08,0,73,2010620,1,['6gZq1Q6bdOxsUPUG1TaFbF'],8,6gZq1Q6bdOxsUPUG1TaFbF,Godsmack
Bulletproof,Godsmack,6w7ily4cFWEPO0XWFQYeUO,0.39,0.91,-3.268,0,0.133,0.000198,0.0,0.156,0.644,162.253,177048,4,7,0,,66,2018-04-27,0,73,2010620,1,['6gZq1Q6bdOxsUPUG1TaFbF'],5,6gZq1Q6bdOxsUPUG1TaFbF,Godsmack
Awake,Godsmack,6xXlurslWqFuyqTCBlErzX,0.395,0.756,-4.12,1,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,304373,4,11,0,,66,2000-10-31,0,73,2010620,1,['6gZq1Q6bdOxsUPUG1TaFbF'],7,6gZq1Q6bdOxsUPUG1TaFbF,Godsmack
Tell Your Heart To Beat Again,Danny Gokey,4F6KXBE38OBGPZsryUih1x,0.508,0.402,-7.168,1,0.0279,0.691,0.0,0.103,0.196,133.906,233774,4,10,0,,60,2014-04-22,0,62,214333,1,['5Yu3b48Y29bZlI1cLPOZJz'],5,5Yu3b48Y29bZlI1cLPOZJz,Danny Gokey
In For The Kill,La Roux,4gMnvtp0lXJY9GkgPGcELg,0.629,0.969,-0.276,0,0.0455,0.00184,0.0,0.122,0.905,150.01,248626,4,10,0,,48,2009-01-01,0,65,540447,1,['3K2zB87GZv1krx031en5VA'],8,3K2zB87GZv1krx031en5VA,La Roux
Just By Being You (Halo and Wings),Steel Magnolia,0VN7fkCRtiNS2Il1xtu7d0,0.476,0.572,-5.919,1,0.0311,0.363,0.0,0.112,0.142,137.089,240480,4,10,0,,27,2011-01-01,0,25,12302,1,['7sbNNaQTulMUEWxL5aDTiT'],2,7sbNNaQTulMUEWxL5aDTiT,Steel Magnolia
Sunshine,Matisyahu,1ma4sCjoVMptvilcgJDPGc,0.697,0.769,-3.712,1,0.0626,0.00747,0.0,0.0733,0.822,100.029,213069,4,7,0,,52,2012-07-17,0,63,576208,1,['5eyMzR1hYiEZtN2c9ly2kw'],0,5eyMzR1hYiEZtN2c9ly2kw,Matisyahu
Time Of Your Song,Matisyahu,0u06YF4jUgdV2WmWW04NHx,0.722,0.776,-7.339,1,0.0734,0.09,2.4e-05,0.364,0.548,77.992,266280,4,6,0,,49,2006-03-07,0,63,576208,1,['5eyMzR1hYiEZtN2c9ly2kw'],2,5eyMzR1hYiEZtN2c9ly2kw,Matisyahu
What You Mean to Me,Various Artists,6hXYNf8WmAI8SOhEzohUrn,0.505,0.474,-7.723,1,0.0268,0.16,0.0,0.0952,0.234,83.086,257266,4,10,0,,55,2010-01-01,0,58,136316,1,['533HtQP5btWIZcKlHJtEWK'],8,533HtQP5btWIZcKlHJtEWK,Christopher Wilde
