name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
He Wasn't Man Enough,Toni Braxton,7f1Dmr246cJ9uQYdbplTbh,0.7390000000000001,0.947,-1.915,0,0.0412,0.00947,2.99e-05,0.326,0.763,88.009,261933,4,9,1,2000-03-18,67,2000,0,70,2348819,1,['3X458ddYA2YcVWuVIGGOYe'],11,3X458ddYA2YcVWuVIGGOYe,Toni Braxton
The Bad Touch,Bloodhound Gang,5EYdTPdJD74r9EVZBztqGG,0.831,0.735,-6.254,0,0.0384,0.00397,0.0205,0.123,0.97,122.979,260506,4,9,1,2000-03-18,71,1999-10-04,0,67,654862,1,['6nDLku5uL3ou60kvCGZorh'],0,6nDLku5uL3ou60kvCGZorh,Bloodhound Gang
Mr. Too Damn Good,Gerald Levert,0ayO9HLU8fRymoiFMVHqy3,0.804,0.322,-10.001,1,0.0344,0.354,0.0,0.151,0.31,115.17,271560,4,14,1,2000-03-18,42,2000-03-07,11,51,572526,1,['7BLOa6FxCbMnowidkQfLIA'],1,7BLOa6FxCbMnowidkQfLIA,Gerald Levert
Whistle While You Twurk (ColliPark Mix),Ying Yang Twins,1LMAQunVS6Dq8wEqQnsL8Y,0.935,0.608,-7.2360000000000015,0,0.085,0.00155,0.0,0.342,0.0664,101.992,265440,4,10,1,2000-03-18,48,2000-04-10,0,68,664313,1,['44PA0rCQXikgOWbfY7Fq7m'],1,44PA0rCQXikgOWbfY7Fq7m,Ying Yang Twins
No Mercy,Ty Herndon,3ZzmuoHXbV5Lu0O1BZm2Bd,0.407,0.627,-6.769,1,0.03,0.112,0.000266,0.13,0.438,187.676,285960,4,8,1,2000-03-18,20,1999-10-20,27,43,83056,1,['1Fj0R2t4HaJa3oUe8azB8R'],10,1Fj0R2t4HaJa3oUe8azB8R,Ty Herndon
Private Emotion (feat. Meja),Ricky Martin,1rjHJSGgt10GAtgLrDtHTM,0.51,0.726,-7.0,1,0.0337,0.265,0.0,0.0911,0.489,146.553,241000,4,11,1,2000-03-11,53,1999,74,79,5606121,2,"['7slfeZO9LsJbWgpkIoXBUJ', '4eYjWapog2qNOYRnqBvGXP']",1,7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin
Buy Me A Rose,Kenny Rogers,3Hl451i7KUVN84rr0n4U1o,0.635,0.29600000000000004,-13.728,1,0.0298,0.562,1.97e-06,0.11,0.198,97.998,227066,4,9,1,2000-03-11,52,1999-05-11,0,73,1387641,1,['4tw2Lmn9tTPUv7Gy7mVPI4'],3,4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers
The Way You Love Me,Faith Hill,6vgN6KGstss0GnBbKlMNK9,0.627,0.716,-7.175,1,0.0352,0.127,0.0,0.0344,0.7340000000000001,101.99,186066,4,12,1,2000-03-11,59,1999-11-09,47,69,1206033,1,['25NQNriVT2YbSW80ILRWJa'],2,25NQNriVT2YbSW80ILRWJa,Faith Hill
She's More,Andy Griggs,0bF8vEqQyvTfAMWkbP7MnY,0.679,0.528,-7.901,1,0.0267,0.0754,0.0,0.12,0.274,99.035,199733,4,8,1,2000-03-11,44,1999-04-03,20,44,64057,1,['7CyJIUpcWZK2zFM6gKLKvD'],7,7CyJIUpcWZK2zFM6gKLKvD,Andy Griggs
There You Go,P!nk,6dJ2mSRaKE9ctYw9qWNGWQ,0.8220000000000001,0.847,-6.729,0,0.0916,0.0862,0.0,0.0452,0.667,107.906,202800,4,9,1,2000-03-04,56,2000-04-04,0,85,9614009,1,['1KCSPY1glIKqW2TotWuXOR'],10,1KCSPY1glIKqW2TotWuXOR,P!nk
Carlene,Phil Vassar,339hc1FygD8oJl4kg24IjG,0.5870000000000001,0.88,-5.725,1,0.0324,0.0784,0.0,0.182,0.778,129.222,246240,4,10,1,2000-03-04,41,2000-02-21,0,53,230471,1,['1XhhO2dTs2fKyhILj0aam6'],4,1XhhO2dTs2fKyhILj0aam6,Phil Vassar
Whoa!,Black Rob,71u5SjnkSQgzIt1UzHchbi,0.736,0.705,-6.231,1,0.24,0.0579,0.0,0.321,0.557,86.404,238840,4,8,1,2000-03-04,55,2000,0,56,110514,1,['1QPZhx0asYTBxD5RDqfU49'],7,1QPZhx0asYTBxD5RDqfU49,Black Rob
U Don't Love Me,A.B. Quintanilla III,71vYy0ais2UtIdkFOGtoUt,0.612,0.491,-8.794,1,0.0593,0.0715,1.2e-06,0.378,0.586,147.916,231240,4,9,1,2000-03-04,34,1999-01-01,0,63,46276,2,"['6BMQo3hxi4qwLiZpHKK5iL', '2gdX1GbQ8sljsTVwDaIpkc']",6,6BMQo3hxi4qwLiZpHKK5iL,A.B. Quintanilla III
It Was,Chely Wright,1fC89py9z6DXa2mWvsGaJZ,0.53,0.563,-10.407,1,0.0348,0.217,2.14e-05,0.113,0.64,170.292,231093,4,11,1,2000-03-04,28,1999-01-01,20,40,86106,1,['1aSIXmBKKrEVIbGLwhedIe'],3,1aSIXmBKKrEVIbGLwhedIe,Chely Wright
Daddy Won't Sell the Farm,Montgomery Gentry,2Wt173KM9i97KSB52qCuqj,0.708,0.728,-7.039,1,0.0298,0.011,2.26e-05,0.0556,0.7040000000000001,119.881,258640,4,15,1,2000-03-04,37,1999-03-09,30,63,979599,1,['3bGXaFVQLASmDMdjjeJr8a'],7,3bGXaFVQLASmDMdjjeJr8a,Montgomery Gentry
