name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year,chart_year
Happy,P!nk,6xG7t7blddozpBf3S5we1O,0.659,0.502,-6.9479999999999995,1,0.0521,0.019,0.0,0.0641,0.29100000000000004,135.938,181720,4,9,0,,56,2019-04-26,583,85,9677400,1,['1KCSPY1glIKqW2TotWuXOR'],11,1KCSPY1glIKqW2TotWuXOR,P!nk,2019,
Si Te Vas,Sech,6Y4PDQv4XjYjHLeLmvyOt0,0.73,0.644,-4.124,1,0.132,0.0933,4.56e-06,0.14300000000000002,0.5539999999999999,174.101,204906,4,12,0,,73,2019-09-26,1,96,31353819,2,"['77ziqFxp5gaInVrF2lj4ht', '1i8SpTcr7yvPOmcqrbnVXY']",0,77ziqFxp5gaInVrF2lj4ht,Sech,2019,
I.F.L.Y.,Bazzi,4a6q8CR2hzLk2plDkSxkfD,0.812,0.519,-4.823,1,0.0385,0.379,0.0,0.13,0.5539999999999999,104.954,165714,4,10,0,,82,2019-08-09,61,82,3833378,1,['4GvEc3ANtPPjt1ZJllr5Zl'],2,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,2019,
Richard Millie Plain,Gunna,14PWHDV87nXiSuClZDsEYC,0.7440000000000001,0.674,-7.518,0,0.0641,0.35600000000000004,0.0,0.128,0.316,134.02100000000002,200134,4,12,0,,59,2019-02-22,0,93,2640627,1,['2hlmm7s2ICUX0LVIhVFlZQ'],1,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,2019,
A Safe Place to Land (feat. John Legend),Sara Bareilles,55fyE9Q754QhXpmcLtmmam,0.423,0.253,-13.259,1,0.0368,0.825,0.0,0.11699999999999999,0.161,129.656,269209,3,11,0,,62,2019-05-10,63,85,6832326,2,"['2Sqr0DXoaYABbjBo9HaMkM', '5y2Xq6xcjJb2jVM54GHK3t']",10,2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,2019,
Throw It Back,Missy Elliott,3qc67Hflqzvw3hShw2phgG,0.8540000000000001,0.637,-5.877000000000001,1,0.218,0.0033200000000000005,0.0,0.10300000000000001,0.509,158.015,192813,4,13,0,,57,2019-08-23,49,77,1477229,1,['2wIVse2owClT7go1WT98tk'],4,2wIVse2owClT7go1WT98tk,Missy Elliott,2019,
Girls Love Beyoncé (feat. James Fauntleroy),Drake,5JO1YTHgSBu4vIQ5Gag3Lq,0.5770000000000001,0.47600000000000003,-11.265,0,0.478,0.777,0.0,0.106,0.32,126.344,225011,4,9,0,,30,2019-08-02,1081,99,50844226,2,"['3TVXtAsR1Inumwj472S9r4', '5ooSG9S0glqP5ZrqqaHBvT']",11,3TVXtAsR1Inumwj472S9r4,Drake,2019,
"Greenlight - From ""Songland""",Jonas Brothers,5HgbcQFIHjNcn46w8ORwhu,0.741,0.546,-9.122,0,0.0713,0.0369,0.0,0.0733,0.6890000000000001,141.97799999999998,180400,4,10,0,,55,2019-06-18,107,83,4684154,1,['7gOdHgIoIKoe4i9Tta6qdD'],5,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,2019,
Everywhere I'm Goin',Maddie & Tae,74EV2uPNEXmX3UGInlPxM3,0.52,0.6890000000000001,-4.64,1,0.0307,0.36700000000000005,2.1e-05,0.11900000000000001,0.39,79.007,210200,4,11,0,,56,2019-10-18,0,69,638124,1,['34bhyY8jfKez7uKakMfy4y'],7,34bhyY8jfKez7uKakMfy4y,Maddie & Tae,2019,
Candy (feat. Trippie Redd),Machine Gun Kelly,37AGgp9VP8TVJBfEat74Bj,0.7440000000000001,0.638,-4.86,0,0.049,0.00829,0.0,0.182,0.48,98.01899999999999,156719,4,7,0,,78,2019-07-05,36,91,8273373,2,"['6TIYQ3jFPwQSRmorSezPxX', '6Xgp2XMz1fhVYe7i6yNAax']",5,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,2019,
